"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 02 21:13:01 UTC 2026","Sat May 02 21:13:06 UTC 2026","5222","chromium","e2e/home-loads.spec.ts","Home page — carregamento básico","","","@smoke @core home carrega com title correto e sem erros críticos no console",""
"failed","Sat May 02 21:17:19 UTC 2026","Sat May 02 21:17:42 UTC 2026","23046","webkit","visual/pages.spec.ts","Visual regression","","","@visual melhores-momentos anônima",""
"passed","Sat May 02 21:13:06 UTC 2026","Sat May 02 21:13:36 UTC 2026","29975","chromium","e2e/match-modal-close.spec.ts","Modal de partida — botão Close","","","@core Botão Close (X) fecha modal de partida e volta pra home",""
"broken","Sat May 02 21:15:47 UTC 2026","Sat May 02 21:16:21 UTC 2026","33386","mobile-chrome","e2e/match-modal.spec.ts","Modal de partida finalizada","","","@smoke @core click no card abre modal com header ""Partida Finalizada""",""
"passed","Sat May 02 21:16:17 UTC 2026","Sat May 02 21:16:28 UTC 2026","11727","firefox","e2e/responsividade.spec.ts","Responsividade — mobile e tablet viewports","","","@core tablet 768x1024: nav tabs visíveis e clicáveis",""
"skipped","Sat May 02 21:15:33 UTC 2026","Sat May 02 21:15:33 UTC 2026","0","firefox","e2e/notifications-panel.spec.ts","Notifications panel — sino","","","@core Sino abre painel de notificações com mensagem padrão",""
"passed","Sat May 02 21:12:38 UTC 2026","Sat May 02 21:12:45 UTC 2026","6616","chromium","api/endpoint-match-ended.spec.ts","API GET /match/?status=ENDED","","","@api retorna 200 e envelope paginado válido",""
"failed","Sat May 02 21:14:30 UTC 2026","Sat May 02 21:14:49 UTC 2026","19594","chromium","visual/pages.spec.ts","Visual regression","","","@visual melhores-momentos anônima",""
"failed","Sat May 02 21:12:37 UTC 2026","Sat May 02 21:12:38 UTC 2026","1018","chromium","a11y/pages.spec.ts","","","","@a11y melhores momentos anônima sem violations serious/critical",""
"failed","Sat May 02 21:12:27 UTC 2026","Sat May 02 21:12:28 UTC 2026","977","mobile-chrome","a11y/pages.spec.ts","","","","@a11y termos de uso sem violations serious/critical",""
